key,name,taobao_url,taobao_price_cny,weight_g,amazon_asin,amazon_keyword,rakuten_keyword,rakuten_genre_id,amazon_price_jpy,amazon_rank,rakuten_price_jpy,rakuten_rank,note
mug01,ステンレス保温タンブラー 480ml,https://item.taobao.com/item.htm?id=600000000001,38.5,320,,ステンレス タンブラー 480ml 保温,ステンレス タンブラー 480ml,558885,2480,8420,2180,14,サンプル行(数値は架空)
ring01,スマホリング 落下防止 アルミ,https://item.taobao.com/item.htm?id=600000000002,6.8,25,,スマホリング 落下防止 アルミ,スマホリング 落下防止,565004,980,3150,880,,サンプル行(数値は架空)
cable01,USB-C ケーブル 2m 編組,https://item.taobao.com/item.htm?id=600000000003,12.0,90,,USB-C ケーブル 2m 編組 急速充電,USBC ケーブル 2m,565004,1280,1890,1180,42,サンプル行(数値は架空)
pouch01,トラベルポーチ 6点セット,https://item.taobao.com/item.htm?id=600000000004,29.0,410,,トラベルポーチ 6点セット 収納,トラベルポーチ セット,510915,2980,22400,2680,,サンプル行(数値は架空)
led01,LEDセンサーライト 人感 USB充電,https://item.taobao.com/item.htm?id=600000000005,24.5,180,,LED センサーライト 人感 USB充電,センサーライト 人感 USB,558929,1980,5630,1780,7,サンプル行(数値は架空)
brush01,シリコン食器洗いブラシ,https://item.taobao.com/item.htm?id=600000000006,9.9,75,,シリコン 食器洗い ブラシ キッチン,食器洗い ブラシ シリコン,558885,880,31200,780,,サンプル行(数値は架空)
band01,スマートウォッチバンド シリコン,https://item.taobao.com/item.htm?id=600000000007,7.5,20,,スマートウォッチ バンド シリコン 20mm,スマートウォッチ バンド,558944,1180,9800,1080,23,サンプル行(数値は架空)
organ01,デスク収納ラック 木製,https://item.taobao.com/item.htm?id=600000000008,68.0,1250,,デスク 収納ラック 木製 卓上,卓上 収納ラック 木製,215783,4280,45100,3980,,サンプル行(数値は架空)
mat01,ヨガマット 6mm 滑り止め,https://item.taobao.com/item.htm?id=600000000009,55.0,1050,,ヨガマット 6mm 滑り止め,ヨガマット 6mm,101070,3480,12800,2980,31,サンプル行(数値は架空)
case01,AirPods ケース シリコン,https://item.taobao.com/item.htm?id=600000000010,5.2,18,,AirPods ケース シリコン カバー,AirPods ケース シリコン,565004,890,18700,820,,サンプル行(数値は架空)
